Orthogroup	arabidopsis	lettuce	maize	medicago	melon	rice	safflower	tobacco	tomato	watermelon
OG0000000										
OG0000001										
OG0000002										
OG0000003										
OG0000004										
OG0000005										
OG0000006										
OG0000007										
OG0000008				GO:0009733						
OG0000009										
OG0000010										
OG0000011										
OG0000012		GO:0004497,GO:0005506,GO:0016705,GO:0020037		GO:0004497,GO:0005506,GO:0016705,GO:0020037		GO:0004497,GO:0005506,GO:0016705,GO:0020037	GO:0004497,GO:0005506,GO:0016705,GO:0020037	GO:0004497,GO:0005506,GO:0016705,GO:0020037	GO:0004497,GO:0005506,GO:0016705,GO:0020037	
OG0000013	GO:0004672,GO:0004674,GO:0006468,GO:0048544	GO:0004672,GO:0004674,GO:0006468,GO:0048544		GO:0004672,GO:0004674,GO:0006468,GO:0048544		GO:0004672,GO:0006468,GO:0048544		GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0048544		
OG0000014				GO:0004672,GO:0005515,GO:0005524,GO:0006468				GO:0004672,GO:0005515,GO:0005524,GO:0006468		
OG0000015		GO:0004672,GO:0005515,GO:0005524,GO:0006468		GO:0004672,GO:0005515,GO:0005524,GO:0006468	GO:0004672,GO:0005515,GO:0006468	GO:0004672,GO:0005515,GO:0006468	GO:0004672,GO:0005515,GO:0006468	GO:0004672,GO:0005515,GO:0006468		
OG0000016										
OG0000017										
OG0000018		GO:0008270								
OG0000019	GO:0003700,GO:0006355	GO:0003700,GO:0006355		GO:0003700,GO:0006355	GO:0003700,GO:0006355			GO:0003700,GO:0006355		
OG0000020										
OG0000021	GO:0004672,GO:0006468	GO:0004672,GO:0006468	GO:0004672,GO:0006468	GO:0004672,GO:0004674,GO:0005524,GO:0006468	GO:0004672,GO:0006468	GO:0004672,GO:0006468		GO:0004672,GO:0005524,GO:0006468		
OG0000022	GO:0000287,GO:0010333,GO:0016829			GO:0000287,GO:0010333,GO:0016829	GO:0000287,GO:0010333,GO:0016829		GO:0000287,GO:0010333,GO:0016829	GO:0000287,GO:0010333,GO:0016829		
OG0000023										
OG0000024										
OG0000025										
OG0000026	GO:0004497,GO:0005506,GO:0016705,GO:0020037	GO:0004497,GO:0005506,GO:0016705,GO:0020037		GO:0004497,GO:0005506,GO:0016705,GO:0020037	GO:0004497,GO:0005506,GO:0016705,GO:0020037	GO:0004497,GO:0005506,GO:0016705,GO:0020037		GO:0004497,GO:0005506,GO:0016705,GO:0020037	GO:0004497,GO:0005506,GO:0016705,GO:0020037	
OG0000027	GO:0016491,GO:0050660		GO:0016491,GO:0050660	GO:0016491,GO:0050660	GO:0016491,GO:0050660	GO:0016491,GO:0050660		GO:0016491,GO:0050660		
OG0000028										
OG0000029										
OG0000030										
OG0000031										
OG0000032										
OG0000033										
OG0000034										
OG0000035	GO:0004553,GO:0005618,GO:0005975,GO:0016762,GO:0044042,GO:0048046	GO:0004553,GO:0005618,GO:0005975,GO:0016762,GO:0044042,GO:0048046			GO:0004553,GO:0005618,GO:0005975,GO:0016762,GO:0044042,GO:0048046		GO:0004553,GO:0005618,GO:0005975,GO:0016762,GO:0044042,GO:0048046			
OG0000036										
OG0000037										
OG0000038										
OG0000039	GO:0004672,GO:0006468,GO:0030247	GO:0004672,GO:0005524,GO:0006468,GO:0030247		GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0016020,GO:0030247	GO:0004672,GO:0006468,GO:0030247				GO:0004672,GO:0005524,GO:0006468,GO:0030247	
OG0000040	GO:0046983									
OG0000041										
OG0000042	GO:0004672,GO:0005524,GO:0006468	GO:0004672,GO:0005524,GO:0006468		GO:0004672,GO:0005524,GO:0006468		GO:0004672,GO:0005524,GO:0006468		GO:0004672,GO:0005524,GO:0006468	GO:0004672,GO:0005524,GO:0006468	
OG0000043										
OG0000044				GO:0005515						
OG0000045	GO:0005524,GO:0016887									
OG0000046										
OG0000047				GO:0003676,GO:0004523						
OG0000048										
OG0000049	GO:0004672,GO:0005515,GO:0005524,GO:0006468			GO:0004672,GO:0005515,GO:0006468	GO:0004672,GO:0005515,GO:0006468				GO:0004672,GO:0005515,GO:0006468	
OG0000050										
OG0000051										
OG0000052										
OG0000053	GO:0048364,GO:0048367									
OG0000054	GO:0008146	GO:0008146		GO:0008146		GO:0008146				
OG0000055								GO:0003677,GO:0006355	GO:0003677,GO:0006355	
OG0000056		GO:0004672,GO:0006468,GO:0030247		GO:0004672,GO:0005524,GO:0006468,GO:0030247				GO:0004672,GO:0005524,GO:0006468,GO:0030247		
OG0000057										
OG0000058				GO:0005515						
OG0000059										
OG0000060										
OG0000061	GO:0004672,GO:0005524,GO:0006468			GO:0004672,GO:0005524,GO:0006468	GO:0004672,GO:0005524,GO:0006468	GO:0004672,GO:0005524,GO:0006468		GO:0004672,GO:0005524,GO:0006468	GO:0004672,GO:0005524,GO:0006468	
OG0000062				GO:0007165,GO:0043531						
OG0000063										
OG0000064										
OG0000065										
OG0000066										
OG0000067										
OG0000068	GO:0016788					GO:0016788				
OG0000069										
OG0000070										
OG0000071	GO:0005515			GO:0005515		GO:0005515				
OG0000072										
OG0000073			GO:0003677							
OG0000074										
OG0000075										
OG0000076										
OG0000077										
OG0000078		GO:0000287,GO:0010333,GO:0016829		GO:0000287,GO:0010333,GO:0016829						
OG0000079										
OG0000080										
OG0000081										
OG0000082										
OG0000083										
OG0000084										
OG0000085		GO:0008171,GO:0046983		GO:0008171,GO:0046983		GO:0008171,GO:0046983		GO:0008171,GO:0046983		
OG0000086										
OG0000087	GO:0003677,GO:0006355	GO:0003677,GO:0006355		GO:0003677,GO:0006355	GO:0003677,GO:0006355	GO:0003677,GO:0006355	GO:0003677,GO:0006355	GO:0003677,GO:0006355	GO:0003677,GO:0006355	
OG0000088										
OG0000089										
OG0000090										
OG0000091				GO:0004672,GO:0005524,GO:0006468				GO:0004672,GO:0005524,GO:0006468		
OG0000092										
OG0000093	GO:0004497,GO:0005506,GO:0016705,GO:0020037	GO:0004497,GO:0005506,GO:0016705,GO:0020037		GO:0004497,GO:0005506,GO:0016705,GO:0020037						
OG0000094				GO:0004553,GO:0005975		GO:0004553,GO:0005975				
OG0000095										
OG0000096	GO:0004497,GO:0005506,GO:0016705,GO:0020037	GO:0004497,GO:0005506,GO:0016705,GO:0020037	GO:0004497,GO:0005506,GO:0016705,GO:0020037	GO:0004497,GO:0005506,GO:0016705,GO:0020037	GO:0004497,GO:0005506,GO:0016705,GO:0020037			GO:0004497,GO:0005506,GO:0016705,GO:0020037		
OG0000097										
OG0000098										
OG0000099		GO:0003824								
OG0000100		GO:0005515								
OG0000101										
OG0000102										
OG0000103										
OG0000104		GO:0008168		GO:0008168	GO:0008168					
OG0000105										
OG0000106										
OG0000107										
OG0000108										
OG0000109	GO:0004672,GO:0005524,GO:0006468,GO:0030246			GO:0004672,GO:0005524,GO:0006468,GO:0030246		GO:0004672,GO:0005524,GO:0006468,GO:0030246		GO:0004672,GO:0005524,GO:0006468,GO:0030246		
OG0000110										
OG0000111										
OG0000112										
OG0000113	GO:0004497,GO:0005506,GO:0016705,GO:0020037			GO:0004497,GO:0005506,GO:0016705,GO:0020037						
OG0000114	GO:0004185,GO:0006508	GO:0004185,GO:0006508		GO:0004185,GO:0006508		GO:0004185,GO:0006508				
OG0000115										
OG0000116		GO:0004497,GO:0005506,GO:0016705,GO:0020037	GO:0004497,GO:0005506,GO:0016705,GO:0020037			GO:0004497,GO:0005506,GO:0016705,GO:0020037				
OG0000117	GO:0008194			GO:0008194				GO:0008194		
OG0000118										
OG0000119										
OG0000120	GO:0016787			GO:0016787		GO:0016787		GO:0016787		
OG0000121										
OG0000122										
OG0000123										
OG0000124										
OG0000125										
OG0000126										
OG0000127	GO:0004867,GO:0009611			GO:0004867,GO:0009611		GO:0004867,GO:0009611				
OG0000128										
OG0000129		GO:0004672,GO:0005524,GO:0006468						GO:0004672,GO:0006468		
OG0000130	GO:0006629	GO:0006629	GO:0006629	GO:0006629	GO:0006629	GO:0006629		GO:0006629		
OG0000131										
OG0000132		GO:0005515,GO:0007165,GO:0043531								
OG0000133										
OG0000134										
OG0000135		GO:0004497,GO:0005506,GO:0016705,GO:0020037		GO:0004497,GO:0005506,GO:0016705,GO:0020037				GO:0004497,GO:0005506,GO:0016705,GO:0020037		
OG0000136										
OG0000137										
OG0000138										
OG0000139										
OG0000140										
OG0000141										
OG0000142										
OG0000143										
OG0000144										
OG0000145										
OG0000146	GO:0006508,GO:0008234	GO:0006508,GO:0008234		GO:0006508,GO:0008234				GO:0006508,GO:0008234		
OG0000147	GO:0003700,GO:0006355	GO:0003700,GO:0006355		GO:0003700,GO:0006355		GO:0003700,GO:0006355				
OG0000148		GO:0003924,GO:0005525								
OG0000149										
OG0000150										
OG0000151	GO:0005525			GO:0005525						
OG0000152		GO:0008194						GO:0008194		
OG0000153		GO:0004672,GO:0005524,GO:0006468,GO:0048544	GO:0004672,GO:0005524,GO:0006468	GO:0004672,GO:0005524,GO:0006468,GO:0048544				GO:0004672,GO:0005524,GO:0006468,GO:0048544		
OG0000154										
OG0000155										
OG0000156	GO:0016020,GO:0022857,GO:0055085	GO:0016020,GO:0022857,GO:0055085			GO:0016020,GO:0022857,GO:0055085					
OG0000157		GO:0016020								
OG0000158										
OG0000159										
OG0000160										
OG0000161	GO:0006486,GO:0016020,GO:0016758			GO:0006486,GO:0016020,GO:0016758	GO:0006486,GO:0016020,GO:0016758	GO:0006486,GO:0016020,GO:0016758		GO:0006486,GO:0016020,GO:0016758		GO:0006486,GO:0016020,GO:0016758
OG0000162										
OG0000163										
OG0000164										
OG0000165	GO:0005515,GO:0016702,GO:0046872	GO:0005515,GO:0016702,GO:0046872			GO:0005515,GO:0016702,GO:0046872	GO:0005515,GO:0016702,GO:0046872		GO:0005515,GO:0016702,GO:0046872		
OG0000166										
OG0000167		GO:0000287,GO:0015977,GO:0016984						GO:0000287,GO:0015977,GO:0016984		
OG0000168						GO:0003677,GO:0003700,GO:0006355,GO:0043565,GO:0046983				
OG0000169										
OG0000170										
OG0000171										
OG0000172	GO:0004650,GO:0005975									
OG0000173	GO:0005524,GO:0015986,GO:0046034,GO:1902600	GO:0005524,GO:0015986,GO:0046034,GO:1902600								
OG0000174										
OG0000175										
OG0000176	GO:0015267,GO:0016020,GO:0055085					GO:0015267,GO:0016020,GO:0055085		GO:0015267,GO:0016020,GO:0055085		
OG0000177										
OG0000178										
OG0000179										
OG0000180		GO:0003700,GO:0006355		GO:0003700,GO:0006355		GO:0003700,GO:0006355				
OG0000181		GO:0009579,GO:0015979,GO:0016020								
OG0000182		GO:0005515			GO:0005515					
OG0000183		GO:0003735,GO:0005840,GO:0006412								
OG0000184										
OG0000185	GO:0003677,GO:0006355,GO:0043565	GO:0003677,GO:0005634,GO:0006355,GO:0043565		GO:0003677,GO:0005634,GO:0006355,GO:0043565	GO:0003677,GO:0005634,GO:0006355,GO:0043565			GO:0003677,GO:0005634,GO:0006355,GO:0043565	GO:0003677,GO:0006355,GO:0043565	
OG0000186	GO:0004553,GO:0005975		GO:0004553,GO:0005975	GO:0004553,GO:0005975						
OG0000187	GO:0015297,GO:0016020,GO:0042910,GO:0055085	GO:0015297,GO:0016020,GO:0042910,GO:0055085				GO:0015297,GO:0016020,GO:0042910,GO:0055085				
OG0000188										
OG0000189		GO:0016787								
OG0000190	GO:0008194	GO:0008194	GO:0008194	GO:0008194		GO:0008194			GO:0008194	
OG0000191										
OG0000192										
OG0000193										
OG0000194										
OG0000195	GO:0004672,GO:0004674,GO:0005524,GO:0006468,GO:0048544	GO:0004672,GO:0006468,GO:0048544		GO:0004672,GO:0005524,GO:0006468,GO:0048544	GO:0004672,GO:0006468,GO:0048544			GO:0004672,GO:0006468,GO:0048544	GO:0004672,GO:0004674,GO:0006468,GO:0048544	
OG0000196	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359		GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359				GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359		
OG0000197										
OG0000198										
OG0000199										
OG0000200										
OG0000201										
OG0000202	GO:0005524,GO:0140662			GO:0005524,GO:0140662	GO:0005524,GO:0140662				GO:0005524,GO:0140662	
OG0000203										
OG0000204	GO:0008194	GO:0008194		GO:0008194		GO:0008194		GO:0008194		
OG0000205										
OG0000206										
OG0000207	GO:0008194	GO:0008194								
OG0000208										
OG0000209	GO:0005507,GO:0016491	GO:0005507,GO:0016491		GO:0005507,GO:0016491				GO:0005507,GO:0016491		
OG0000210		GO:0004497,GO:0005506,GO:0016705,GO:0020037	GO:0004497,GO:0005506,GO:0016705,GO:0020037		GO:0004497,GO:0005506,GO:0016705,GO:0020037					
OG0000211	GO:0008194			GO:0008194		GO:0008194		GO:0008194		
OG0000212										
OG0000213										
OG0000214										
OG0000215	GO:0005509			GO:0005509				GO:0005509		GO:0005509
OG0000216	GO:0004553,GO:0005975									
OG0000217										
OG0000218										
OG0000219										
OG0000220										
OG0000221	GO:0005515									
OG0000222										
OG0000223	GO:0005524,GO:0016020,GO:0016887,GO:0140359	GO:0005524,GO:0016020,GO:0016887,GO:0140359		GO:0005524,GO:0016020,GO:0016887,GO:0140359				GO:0005524,GO:0016020,GO:0016887,GO:0140359		
OG0000224										
OG0000225	GO:0015095,GO:0015693,GO:0016020									
OG0000226										
OG0000227										
OG0000228				GO:0043531						
OG0000229										
OG0000230								GO:0003883,GO:0006221		
OG0000231	GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0046983	GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0046983			GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0046983					
OG0000232								GO:0005515		
OG0000233										
OG0000234										
OG0000235	GO:0005525				GO:0005525					
OG0000236										
OG0000237	GO:0016020,GO:0022857,GO:0055085	GO:0016020,GO:0022857,GO:0055085	GO:0016020,GO:0022857,GO:0055085	GO:0016020,GO:0022857,GO:0055085	GO:0016020,GO:0022857,GO:0055085	GO:0016020,GO:0022857,GO:0055085		GO:0016020,GO:0022857,GO:0055085		
OG0000238										
OG0000239	GO:0008194	GO:0008194	GO:0008194							
OG0000240										
OG0000241										
OG0000242										
OG0000243	GO:0015297,GO:0016020,GO:0042910,GO:0055085	GO:0015297,GO:0016020,GO:0042910,GO:0055085		GO:0015297,GO:0016020,GO:0042910,GO:0055085	GO:0015297,GO:0016020,GO:0042910,GO:0055085					
OG0000244	GO:0004553,GO:0005975	GO:0004553,GO:0005975							GO:0004553,GO:0005975	
OG0000245										
